Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Barcode,Image Src,Gift Card,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status
harpoon-summer-style-ale,Harpoon Summer Style Ale,ATLAS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"IPA, US",TRUE,Size,6pk 12oz bottles,PBA2691S,1,11.99,'041827001467,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/hss.jpg?v=1679610998,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/hss.jpg?v=1679610998,lb,active
leinenkugels-summer-shandy,Leinenkugel's Summer Shandy,ATLAS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"ALE, dup-review-publication, US",TRUE,Size,6pk 12oz bottles,PBA2689S,0,11.99,'034100516055,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lkss.jpg?v=1679534607,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lkss.jpg?v=1679534607,lb,active
leinenkugels-summer-shandy,,,,,,,,12pk 12oz bottles,PBA2712S,0,19.99,'034100516079,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lkss_3d04ed0a-3dec-4bba-976a-2ded75a80717.jpg?v=1680648207,,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lkss_3d04ed0a-3dec-4bba-976a-2ded75a80717.jpg?v=1680648207,lb,
harpoon-summer-vacation-mix,Harpoon Summer Vacation Mix,ATLAS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"dup-review-publication, IPA, US",TRUE,Size,12pk 12oz bottles,PBA2688S,1,20.99,'041827000125,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/hsm.png?v=1679531253,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/hsm.png?v=1679531253,lb,active
newport-green-100,Newport Green 100,ZALL & SONS,"Food, Beverages & Tobacco > Tobacco Products > Cigarettes",Cigarettes,"CIGARETTE, dup-review-publication",FALSE,Size,1pk,PCZ2686S,9,13.99,'026100911503,,FALSE,,,lb,active
newport-green,Newport Green,ZALL & SONS,"Food, Beverages & Tobacco > Tobacco Products > Cigarettes",Cigarettes,"CIGARETTE, dup-review-publication",FALSE,Size,1pk,PCZ2685S,10,13.99,'026100911411,,FALSE,,,lb,active
lord-hobo-617-ipa,Lord Hobo 617 IPA,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 12oz cans,PBA2684S,7,13.49,'856544007247,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/LH617.png?v=1679098390,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/LH617.png?v=1679098390,lb,active
exhibit-a-panda-punch,Exhibit A Panda Punch,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, PORTER, US",TRUE,Size,4pk 16oz cans,PBA2683S,3,17.99,'709311884803,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exapp.jpg?v=1679097429,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exapp.jpg?v=1679097429,lb,active
lord-hobo-life-hazy-pale-ale,Lord Hobo Life Hazy Pale Ale,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 12oz cans,PBA2682S,13,13.99,'856544007438,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lhhpa.png?v=1679095981,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lhhpa.png?v=1679095981,lb,active
exhibit-a-hair-raiser-ipa,Exhibit A Hair Raiser IPA,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 16oz cans,PBA2681S,6,18.99,'0602938319133,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exa.jpg?v=1679095604,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exa.jpg?v=1679095604,lb,active
